state,hub_distance,pop_weight
SP,0,0.24338624338624337
RJ,1,0.08994708994708994
MG,2,0.1111111111111111
ES,2,0.021164021164021163
PR,2,0.0582010582010582
SC,3,0.037037037037037035
RS,3,0.0582010582010582
GO,4,0.037037037037037035
DF,4,0.015873015873015872
BA,5,0.07936507936507936
PE,6,0.047619047619047616
CE,6,0.047619047619047616
MA,7,0.037037037037037035
PA,8,0.042328042328042326
AM,9,0.021164021164021163
RR,10,0.005291005291005291
AC,10,0.005291005291005291
RO,8,0.010582010582010581
MT,5,0.015873015873015872
MS,5,0.015873015873015872
